Zona;Fe-DTPA;Cu-DTPA;Mn-DTPA;Zn-DTPA;Cr-Total;Cd-Total;Pb-Total
Zona 1;9.6;36;11.1;3.2;11.4;1.3;8.5
Zona 1;32.4;29.4;6.1;0.9;6.4;0.4;3.4
Zona 1;72.6;78;27.5;1.6;9.5;1;5.6
Zona 1;4.5;8.5;7.4;1;8.9;1;5.6
Zona 1;5.1;6.9;22.6;1;6.8;0.9;7.5
Zona 1;7.5;5.5;33.7;0.5;8.4;0.9;8.4
Zona 1;4.4;15.7;9.8;0.5;9.9;1.1;5.5
Zona 1;19.1;28.1;12.3;2.4;13.2;1.4;8.1
Zona 1;16.2;34.5;20;2.8;8.2;1;4.6
Zona 1;4.3;16.4;6.4;0.8;11.5;1.2;5.7
Zona 2;4.3;16.4;6.4;0.8;11.5;1.2;5.7
Zona 2;276.6;66.9;56.7;10;11.2;1.5;1.9
Zona 2;43.8;67.8;23;9.2;10;1.6;4.5
Zona 2;18.9;108.3;20.1;8.4;10.3;1.4;4.8
Zona 2;130.2;222.9;8.8;21.7;9.9;1.3;5.2
Zona 2;7.7;80.3;4.2;4.8;5.2;6.6;5.6
Zona 3;7.9;375.1;10.8;5.5;8.8;1.1;38.2
Zona 3;4.3;121.9;4.6;6;45;2.3;129.3
Zona 3;8;97.4;20.7;4.7;15.9;1.4;26.1
Zona 3;36.2;68.6;47.4;2.4;9.3;1;8.6
Zona 3;6;40.9;6.3;1.4;5.7;0.9;5.9
Zona 3;10.8;68.5;25;2.4;16;1.4;19.2
Zona 3;11.4;88.6;29.7;4;14.4;1.3;31.6
Zona 3;9.5;35.2;32;4.9;14.1;1.2;12.9
