Block;Treatment;Estanque;Weight
1;Control;1;1.1
1;Control;1;1.3
1;Control;1;1.9
1;Control;1;0.9
1;Control;1;2.1
1;UVAB;2;1.8
1;UVAB;2;1.7
1;UVAB;2;1.8
1;UVAB;2;2
1;UVAB;2;1.8
1;UVA;3;1.2
1;UVA;3;2.7
1;UVA;3;3.2
1;UVA;3;1.7
1;UVA;3;2.2
2;Control;4;3.5
2;Control;4;3
2;Control;4;3.8
2;Control;4;1.7
2;Control;4;2.8
2;UVAB;5;0.6
2;UVAB;5;0.4
2;UVAB;5;0.5
2;UVAB;5;1.2
2;UVAB;5;0.4
2;UVA;6;1.4
2;UVA;6;2.1
2;UVA;6;0.9
2;UVA;6;2.4
2;UVA;6;2.1
3;Control;7;4
3;Control;7;4.6
3;Control;7;2.6
3;Control;7;2.7
3;Control;7;4.7
3;UVAB;8;1.2
3;UVAB;8;1.8
3;UVAB;8;1.1
3;UVAB;8;1
3;UVAB;8;1.5
3;UVA;9;2.9
3;UVA;9;3
3;UVA;9;3.1
3;UVA;9;3.2
3;UVA;9;3.6
